ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
755;АЭР;09.11.17;Т Плюс Самарский;Комплектация; -;ок;офис АЭР;;
756;АЭР;09.11.17;Т Плюс Самарский;МНР;Переговоры с подрядчиком;ок;офис АЭР;;
757;АЭР;09.11.17;Т Плюс Самарский;МНР;сдача работ;ок;офис АЭР;;ЦОД
758;АЭР;09.11.17;СК Энергосбыт;ПИР;РД Каскад;неокончено;офис АЭР;;
759;ЭА;09.11.17;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
760;АЭР;10.11.17;Т Плюс Самарский;Комплектация; -;ок;офис АЭР;;
761;АЭР;10.11.17;Т Плюс Самарский;МНР;сдача работ;ок;офис АЭР;;ЦОД
762;АЭР;10.11.17;СК Энергосбыт;ПИР;РД Каскад;неокончено;офис АЭР;;
763;ЭА;10.11.17;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
764;АЭР;10.11.17;Ростелеком;Техсопровождение;нет опроса;ок;офис АЭР;;
765;АЭР;10.11.17; -; -; -;ок;офис АЭР;;
766;АЭР;13.11.17; -;Обучение;Прософт;ок;командировка;;
767;АЭР;13.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
768;АЭР;14.11.17; -;Обучение;Прософт;ок;командировка;;
769;АЭР;14.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
770;АЭР;15.11.17; -;Обучение;Прософт;ок;командировка;;
771;АЭР;15.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
772;АЭР;16.11.17; -;Обучение;Прософт;ок;командировка;;
773;АЭР;16.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
774;АЭР;17.11.17; -;Обучение;Прософт;ок;командировка;;
775;АЭР;17.11.17;Т Плюс Самарский;МНР; -;ок;командировка;;
776;АЭР;17.11.17;НМОУ;ПИР; -;ок;командировка;;
777;АЭР;16.11.17;СК Энергосбыт;ПИР; -;неокончено;командировка;;
778;АЭР;20.11.17;СК Энергосбыт;ПИР;РД Каскад;ок;офис АЭР;;
779;АЭР;20.11.17;Т Плюс Самарский;МНР; -;ок;офис АЭР;;
