ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
2053;АЭР;14.01.19;Лента;ТКП; -;неокончено;офис АЭР;;
2054;АЭР;14.01.19;Лента;МНР;Подготовка;ок;офис АЭР;;
2055;АЭР;14.01.19;НМОУ;Техническое развитие; -;неокончено;офис АЭР;;CodeSys
2056;АЭР;15.01.19;МРСК СК;ПИР;Документы;ок;офис АЭР;;
2057;АЭР;15.01.19;Ульяновскэнерго;Конкурс;анализ;неокончено;офис АЭР;;
2058;АЭР;15.01.19;РН Энерго ЮНГ;МО;Документы;неокончено;офис АЭР;;
2059;АЭР;15.01.19; -; -; -;ок;офис АЭР;;
2060;АЭР;16.01.19;РН Энерго ЮНГ;МО;Документы;ок;командировка;;ФАТРИМ
2061;ЭА;16.01.19; -;реорганизация;Документы;ок;командировка;;
2062;АЭР;16.01.19;Ульяновскэнерго;Конкурс;Подготовка;неокончено;офис АЭР;;
2063;АЭР;16.01.19;Лента;МНР;Подготовка;неокончено;офис АЭР;;Л-31
2064;АЭР;16.01.19;НМОУ;МНР;Подготовка;ок;офис АЭР;;
2065;АЭР;17.01.19;НМОУ;Комплектация;Сборка;неокончено;командировка;;
2066;АЭР;17.01.19;НМОУ;МНР;подготовка;ок;командировка;;
2067;АЭР;18.01.19;Стекольный завод;Комплектация;Логистика;ок;дома;;
2068;АЭР;18.01.19;НМОУ;ПИР;замечания к ТРП;ок;офис АЭР;;
2069;АЭР;18.01.19;НМОУ;МНР;планирование;неокончено;офис АЭР;;
2070;АЭР;18.01.19;НМОУ;Ревизия дел; -;ок;офис АЭР;;
2071;АЭР;18.01.19;Лента;МНР;планирование;ок;офис АЭР;;Л-31
2072;ЭА;18.01.19;ЗГАЭС-2;ПИР;Логистика;ок;командировка;;
2073;АЭР;18.01.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2074;ЭА;22.01.19;ЗГАЭС-2;ПИР;Документы;неокончено;командировка;;
2075;АЭР;23.01.19; -;Техническое развитие;Переговоры с поставщиком;ок;офис АЭР;;Киловольт
2076;АЭР;23.01.19;НМОУ;ПИР; -;ок;офис АЭР;;Соломатин
2077;АЭР;23.01.19;Стекольный завод;Техническое развитие; -;ок;офис АЭР;;
2078;АЭР;23.01.19; -; -; -;ок;офис АЭР;;
2079;АЭР;23.01.19;Лента;МНР;подготовка;неокончено;офис АЭР;;
2080;АЭР;23.01.19;ТГК-1;Конкурс;подготовка;неокончено;офис АЭР;;
2081;АЭР;23.01.19;Ульяновскэнерго;Конкурс;подготовка;неокончено;офис АЭР;;
2082;АЭР;24.01.19;НМОУ;ПИР;Техконтроль;ок;офис АЭР;;
2083;АЭР;24.01.19;Стекольный завод;Техническое развитие; -;ок;офис АЭР;;
2084;АЭР;24.01.19;Лента;Комплектация; -;неокончено;офис АЭР;;
2085;АЭР;24.01.19; -; -; -;ок;офис АЭР;;
2086;АЭР;24.01.19; -;Техническое развитие; -;ок;офис АЭР;;MicroScada
2087;АЭР;25.01.19; -;ТКП; -;ок;офис АЭР;;
2088;АЭР;25.01.19;Стекольный завод;ППО; -;неокончено;офис АЭР;;АИИС КУЭ
2089;АЭР;25.01.19;Лента;ППО; -;ок;офис АЭР;;
2090;АЭР;25.01.19; -;Техническое развитие; -;ок;офис АЭР;;
2091;АЭР;25.01.19;ВолГЭС;Конкурс;Документы;неокончено;офис АЭР;;
2092;АЭР;28.01.19;Ульяновскэнерго;Конкурс;подготовка;ок;офис АЭР;;
2093;АЭР;28.01.19;Стекольный завод;ПИР;Техническое решение;неокончено;офис АЭР;;АИИС КУЭ
2094;АЭР;28.01.19;Лента;Комплектация; -;неокончено;офис АЭР;;
2095;ЭА;28.01.19;ЗГАЭС-2;ПИР;замечания к ТРП;ок;офис АЭР;;
2096;АЭР;28.01.19; -; -; -;ок;офис АЭР;;
2097;АЭР;29.01.19;Стекольный завод;ПИР;Техническое решение;ок;офис АЭР;;АИИС КУЭ
2098;АЭР;29.01.19;НМОУ; -; -;ок;офис АЭР;;
2099;АЭР;29.01.19;Лента;Поверка;подготовка;неокончено;офис АЭР;;
2100;ЭА;29.01.19;ЗГАЭС-2;ПИР;Документы;ок;офис АЭР;;
2101;АЭР;29.01.19;Стекольный завод;ПИР;Документы;ок;офис АЭР;;АИИС КУЭ
2102;ЭА;30.01.19;ЗГАЭС-2;ПИР;Документы;ок;командировка;;
2103;ЭА;31.01.19; -;реорганизация;Документы;ок;командировка;;
2104;АЭР;31.01.19; -; -;Документы;ок;офис АЭР;;
2105;АЭР;31.01.19;НМОУ;Комплектация; -;ок;офис АЭР;;
2106;АЭР;31.01.19; -; -; -;ок;офис АЭР;;
2107;ЭС;01.02.19; -;реорганизация;Документы;ок;командировка;;банк
2108;АЭР;01.02.19;Лента 2 оч;Конкурс;подготовка;неокончено;офис АЭР;;
2109;АЭР;01.02.19; -;Маркетинг; -;ок;офис АЭР;;
2110;ЭС;01.02.19;а/п Домодедово;Договор; -;ок;офис АЭР;;
2111;АЭР;03.02.19;НМОУ;ПИР;Техконтроль;ок;офис АЭР;;ошибки в схемаз АТХ
2112;ЭС;03.02.19; -;реорганизация;Документы;неокончено;офис АЭР;;
2113;АЭР;04.02.19;Лента 2 оч;Конкурс;подготовка;неокончено;офис АЭР;;
2114;АЭР;04.02.19;КЧХК;Конкурс;подготовка;ок;офис АЭР;;не ходить
2115;АЭР;04.02.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2116;АЭР;04.02.19; -; -; -;ок;офис АЭР;;
2117;АЭР;04.02.19;НМОУ;ПИР;Документы;ок;офис АЭР;;
2118;АЭР;04.02.19;ТГК-1;ТКП; -;ок;офис АЭР;;
2119;АЭР;05.02.19;НМОУ;СМР; -;ок;офис АЭР;;
2120;АЭР;06.02.19;НМОУ;ПИР;задание;ок;офис АЭР;;РТП-1
2121;АЭР;06.02.19;ЭПМ-НЭЗ;Конкурс;подготовка;неокончено;офис АЭР;;
2122;АЭР;06.02.19; -; -; -;ок;офис АЭР;;
2123;КВБ;06.02.19;НТЦ ПС;МНР;подготовка;неокончено;офис АЭР;;
2124;АЭР;06.02.19;НМОУ;ПИР;Документы;ок;офис АЭР;;узлы трасс
2125;АЭР;07.02.19;ТГК-1;ТКП; -;ок;офис АЭР;;
2126;АЭР;07.02.19;НМОУ;ТКП; -;ок;офис АЭР;;РТП-1
2127;АЭР;07.02.19;ЭПМ-НЭЗ;Конкурс;подготовка;неокончено;офис АЭР;;
2128;АЭР;07.02.19;КВВГЭС;Конкурс;площадка;ок;офис АЭР;;
2129;АЭР;07.02.19;КВВГЭС;Конкурс;подготовка;неокончено;офис АЭР;;
2130;АЭР;07.02.19; -; -; -;ок;офис АЭР;;
2131;АЭР;08.02.19;ЭПМ-НЭЗ;Конкурс;подготовка;ок;офис АЭР;;
2132;АЭР;08.02.19;КВВГЭС;Конкурс;подготовка;неокончено;офис АЭР;;
2133;АЭР;08.02.19;МРСК СК;Сметы; -;ок;офис АЭР;;
2134;АЭР;08.02.19; -; -; -;ок;офис АЭР;;
2135;АЭР;11.02.19;КВВГЭС;Конкурс;подготовка;ок;офис АЭР;;
2136;АЭР;11.02.19; -; -; -;ок;офис АЭР;;
2137;АЭР;12.02.19;НМОУ;Комплектация;Сборка;ок;командировка;;
2138;АЭР;12.02.19;НМОУ;ПИР;Техническое решение;ок;командировка;;
2139;АЭР;12.02.19;НМОУ;СМР;Подготовка;ок;командировка;;
2140;АЭР;13.02.19;МРСК СК;Сдача работ; -;неокончено;офис АЭР;;
2141;АЭР;13.02.19;Сургутская ГРЭС-1;Конкурс;Анализ;ок;офис АЭР;;
2142;АЭР;13.02.19; -; -; -;ок;офис АЭР;;
2143;АЭР;13.02.19;НГПЗ;ТКП; -;ок;офис АЭР;;
2144;АЭР;13.02.19;НМОУ;ПНР;Подготовка;неокончено;офис АЭР;;
2145;АЭР;13.02.19; -;Техническое развитие; -;ок;офис АЭР;;
2146;АЭР;14.02.19; -; -; -;ок;офис АЭР;;Савельев
2147;АЭР;14.02.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2148;АЭР;14.02.19;СК ЭС Мета;Техсопровождение; -;ок;офис АЭР;;
2149;ЭА;14.02.19;ЗГАЭС-2;ЭД;Переговоры с подрядчиком;неокончено;офис АЭР;;
2150;АЭР;15.02.19; -; -; -;ок;офис АЭР;;
2151;АЭР;17.02.19;МРСК СК;Сметы; -;неокончено;офис АЭР;;
2152;ЛВЕ;17.02.19;г-ца Даниловская;Сметы; -;неокончено;офис АЭР;;
2153;АЭР;18.02.19;НМОУ;МНР;планирование;ок;офис АЭР;;ППР уч-ка грануляции
2154;АЭР;18.02.19;МРСК СК;Сметы; -;ок;офис АЭР;;
2155;АЭР;18.02.19;ТК Белогорский;ТКП;Подготовка;неокончено;офис АЭР;;
2156;ЛВЕ;18.02.19;г-ца Даниловская;Сметы; -;ок;офис АЭР;;
2157;АЭР;19.02.19;НМОУ;МНР;Подготовка;ок;офис АЭР;;
2158;АЭР;20.02.19; -;Маркетинг;Анализ конкурсов;ок;командировка;;
2159;АЭР;20.02.19;НМОУ;ПИР;Техническое решение;неокончено;офис АЭР;;питание ЧРП
2160;АЭР;20.02.19;НМОУ;ПИР;Техническое решение;неокончено;офис АЭР;;Modbus шина
2161;АЭР;20.02.19;НМОУ;ПИР;Документы;ок;офис АЭР;;трассы кабельных проводок
2162;АЭР;20.02.19;НМОУ;ПНР;Анализ;ок;офис АЭР;;алгоритмы
2163;АЭР;21.02.19; -; -; -;ок;офис АЭР;;
2164;ЛВЕ;21.02.19;Хруничев;Сметы; -;ок;офис АЭР;;
2165;АЭР;21.02.19;НМОУ;ПИР;Техническое решение;ок;офис АЭР;;Modbus шина
2166;АЭР;21.02.19;НМОУ;ПИР;Техконтроль;неокончено;офис АЭР;;
2167;АЭР;21.02.19;НМОУ;ПНР; -;неокончено;офис АЭР;;
2168;АЭР;21.02.19;ТГК-11 СП ТЭЦ-5;Конкурс;подготовка;неокончено;офис АЭР;;
2169;АЭР;21.02.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2170;АЭР;22.02.19;Сургутская ГРЭС-1;Конкурс;подготовка;ок;офис АЭР;;
2171;АЭР;22.02.19;НМОУ;ПНР; -;неокончено;офис АЭР;;стенд
2172;АЭР;22.02.19; -; -;Документы;ок;офис АЭР;;
2173;АЭР;22.02.19; -;Ревизия дел; -;ок;офис АЭР;;
2174;АЭР;22.02.19;ТГК-11 СП ТЭЦ-5;Конкурс;подготовка;неокончено;офис АЭР;;
2175;АЭР;22.02.19;НМОУ;ПНР; -;ок;офис АЭР;;стенд
2176;АЭР;22.02.19;КЧР;Конкурс;подготовка;ок;офис АЭР;;
2177;АЭР;25.02.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2178;АЭР;25.02.19;Авелар;Конкурс;подготовка;неокончено;офис АЭР;;
2179;АЭР;25.02.19;НМОУ;Комплектация; -;ок;офис АЭР;;
2180;АЭР;25.02.19;Лента;Комплектация;Логистика;ок;офис АЭР;;
2181;АЭР;25.02.19;МРСК СК;Договор;Документы;ок;офис АЭР;;д/с
2182;АЭР;25.02.19; -; -;Документы;ок;офис АЭР;;
2183;АЭР;26.02.19;НМОУ;СМР; -;ок;командировка;;
2184;АЭР;27.02.19;Балаковская ТЭЦ-4;МО;Документы;неокончено;офис АЭР;;
2185;АЭР;27.02.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2186;АЭР;27.02.19;НМОУ;ПИР;Техконтроль;ок;офис АЭР;;
2187;АЭР;27.02.19;НМОУ;ПНР;подготовка;ок;офис АЭР;;
2188;АЭР;27.02.19;Лента;МНР;подготовка;неокончено;офис АЭР;;
2189;АЭР;27.02.19; -;Техническое развитие; -;ок;офис АЭР;;приводная техника
2190;АЭР;28.02.19;НМОУ;Комплектация;Логистика;неокончено;офис АЭР;;
2191;АЭР;28.02.19;Саратовская ТЭЦ-5;Сдача работ;Документы;неокончено;офис АЭР;;
2192;АЭР;28.02.19; -;Техническое развитие; -;ок;офис АЭР;;приводная техника
2193;АЭР;28.02.19;МРСК СК;Договор;Документы;неокончено;офис АЭР;;д/с
2194;АЭР;28.02.19;Балаковская ТЭЦ-4;МО;Документы;ок;командировка;;
2195;АЭР;28.02.19;ТК Белогорский;ТКП;подготовка;ок;офис АЭР;;
2196;АЭР;28.02.19;Сургутская ГРЭС-1;ТКП;подготовка;ок;офис АЭР;;
2197;АЭР;01.03.19;ТК Белогорский;ТКП;подготовка;ок;офис АЭР;;
2198;АЭР;01.03.19; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
2199;АЭР;01.03.19; -; -; -;ок;офис АЭР;;
2200;ЛВЕ;01.03.19;а/п Домодедово;Договор;Документы;ок;офис АЭР;;
2201;АЭР;04.03.19;Авелар;Конкурс;Подача КЗ;ок;офис АЭР;;
2202;АЭР;04.03.19;Саратовтехстекло;Конкурс;подготовка;ок;офис АЭР;;
2203;АЭР;04.03.19;НМОУ;Сдача работ;Документы;ок;офис АЭР;;СМР
2204;АЭР;04.03.19;НМОУ;Сдача работ;Документы;ок;офис АЭР;;ПИР
2205;АЭР;05.03.19;НМОУ;СМР; -;ок;командировка;;
2206;АЭР;06.03.19;НМОУ;Сдача работ;Документы;неокончено;офис АЭР;;
2207;АЭР;06.03.19;НМОУ;СМР; -;ок;офис АЭР;;
2208;АЭР;06.03.19;;Маркетинг;Переговоры с генподрядчиком;ок;командировка;;Арман
2209;АЭР;06.03.19;Авелар;Конкурс;Документы;неокончено;офис АЭР;;
2210;АЭР;06.03.19;Лента;МНР;подготовка;неокончено;офис АЭР;;
2211;АЭР;06.03.19; -; -; -;ок;офис АЭР;;
2212;АЭР;07.03.19;Лента;МНР;Документы;ок;командировка;;
2213;АЭР;07.03.19;Лента;Комплектация;Логистика;неокончено;офис АЭР;;
2214;АЭР;07.03.19;НМОУ;СМР;Техконтроль;ок;офис АЭР;;
2215;ЛВЕ;07.03.19;Абельмановская 2А;Сметы; -;ок;офис АЭР;;
2216;АЭР;07.03.19; -; -; -;ок;офис АЭР;;
2217;АЭР;09.03.19;Лента;Комплектация;Логистика;ок;офис АЭР;;
2218;АЭР;09.03.19;НМОУ;ПНР;подготовка;ок;офис АЭР;;
2219;АЭР;11.03.19;Лента;Комплектация;Логистика;ок;офис АЭР;;
2220;АЭР;11.03.19;НМОУ;СМР;Техконтроль;ок;офис АЭР;;
2221;ЛВЕ;11.03.19;Береговой 2;Сметы; -;ок;офис АЭР;;
2222;АЭР;11.03.19;Авелар;Конкурс;Документы;неокончено;офис АЭР;;
2223;АЭР;11.03.19; -;Техническое развитие; -;неокончено;офис АЭР;;TOPAZ
2224;АЭР;12.03.19; -; -; -;ок;офис АЭР;;
2225;АЭР;12.03.19;Авелар;Конкурс;Документы;ок;офис АЭР;;
2226;АЭР;12.03.19;МРСК СК;Сметы; -;ок;офис АЭР;;
2227;АЭР;12.03.19;НМОУ;СМР;Техконтроль;ок;офис АЭР;;
2228;АЭР;13.03.19;НМОУ;СМР; -;ок;офис АЭР;;
2229;АЭР;14.03.19;МРСК СК;Сметы;замечания к сметам;неокончено;офис АЭР;;
2230;АЭР;14.03.19;НМОУ;ПНР;подготовка;ок;офис АЭР;;
2231;АЭР;14.03.19; -; -; -;ок;офис АЭР;;
2232;АЭР;14.03.19;НМОУ;Договор;дополнительное соглашение;ок;офис АЭР;;
2233;АЭР;14.03.19;Макфа;ТКП; -;ок;офис АЭР;;
2234;АЭР;15.03.19;НижГЭС;Конкурс;Анализ;неокончено;офис АЭР;;
2235;АЭР;15.03.19; -; -; -;ок;офис АЭР;;
2236;АЭР;15.03.19;НМОУ;ПИР;Техническое решение;неокончено;офис АЭР;;металлорукав
2237;АЭР;15.03.19;НМОУ;Комплектация;Логистика;неокончено;офис АЭР;;
2238;АЭР;19.03.19;НМОУ;СМР;;неокончено;офис АЭР;;
2239;АЭР;19.03.19;НМОУ;Комплектация;Логистика;неокончено;офис АЭР;;
2240;АЭР;19.03.19;МРСК СК;Сметы;Документы;неокончено;офис АЭР;;
2241;АЭР;19.03.19; -; -; -;ок;офис АЭР;;
2242;АЭР;20.03.19;НМОУ;СМР;Техконтроль;ок;командировка;;
2243;АЭР;20.03.19;НМОУ;СМР;планирование;ок;офис АЭР;;
2244;АЭР;21.03.19;МРСК СК;Сметы;Документы;ок;офис АЭР;;ИЭ
2245;АЭР;21.03.19;Армянская АЭС;ТКП; -;ок;офис АЭР;;
2246;АЭР;21.03.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2247;АЭР;21.03.19;Авелар;Конкурс;Переторжка;неокончено;офис АЭР;;
2248;АЭР;21.03.19;СЭТЗ Мытищи;ТКП; -;неокончено;офис АЭР;;
2249;АЭР;21.03.19;АНКХ; -;Документы;ок;командировка;;
2250;АЭР;21.03.19;РН ЮНГ;МО;Документы;неокончено;офис АЭР;;
2251;АЭР;22.03.19;МРСК СК;Сметы; -;ок;офис АЭР;;
2252;АЭР;22.03.19;МРСК СК;Сдача работ;планирование;неокончено;дома;;
2253;АЭР;22.03.19;РН ЮНГ;МО;Документы;ок;офис АЭР;;
2254;АЭР;22.03.19;МРСК СК;Договор;дополнительное соглашение;ок;офис АЭР;;
2255;АЭР;22.03.19; -; -; -;ок;офис АЭР;;
2256;АЭР;22.03.19;МРСК СК;Сдача работ; -;неокончено;офис АЭР;;
2257;АЭР;25.03.19; -; -; -;ок;офис АЭР;;
2258;АЭР;25.03.19;АНКХ; -;Документы;ок;офис АЭР;;
2259;АЭР;25.03.19;НМОУ;Комплектация;Логистика;ок;командировка;;
2260;АЭР;25.03.19;НМОУ;Договор;Документы;ок;офис АЭР;;с/п с Касаткиныи
2261;АЭР;25.03.19;НМОУ;Сдача работ;Документы;ок;офис АЭР;;
2262;АЭР;25.03.19;НМОУ;Приемка работ; -;ок;офис АЭР;;
2263;АЭР;25.03.19; -; -; -;ок;офис АЭР;;
2264;АЭР;26.03.19; -; -; -;ок;командировка;;
2265;АЭР;26.03.19;РН ЮНГ;МО;Документы;ок;офис АЭР;;
2266;АЭР;26.03.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2267;АЭР;26.03.19;НМОУ;СМР;Техническое решение;ок;офис АЭР;;
2268;АЭР;26.03.19; -; -; -;ок;офис АЭР;;
2269;АЭР;27.03.19; -; -; -;ок;офис АЭР;;
2270;ЭА;27.03.19; -; -;Документы;ок;командировка;;
2271;АЭР;27.03.19;АНКХ; -;Документы;ок;командировка;;
2272;АЭР;01.04.19;НМОУ;СМР;Техконтроль;ок;командировка;;
2273;АЭР;02.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2274;ЭА;02.04.19; -;реорганизация;Документы;ок;офис АЭР;;
2275;АЭР;02.04.19; -; -; -;ок;офис АЭР;;
2276;ЭА;02.03.19; -;реорганизация;Документы;ок;командировка;;почта
2277;ЭА;03.04.19; -;реорганизация;Документы;ок;командировка;;нотариус
2278;АЭР;03.04.19;Стекольный завод;СМР;подготовка;неокончено;офис АЭР;;
2279;АЭР;03.04.19;МРСК СК;МО;Документы;неокончено;офис АЭР;;
2280;АЭР;03.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2281;АЭР;03.04.19;МРСК СК;ИД;Документы;неокончено;офис АЭР;;
2282;ЛВЕ;03.04.19; -;Сметы; -;ок;офис АЭР;;
2283;АЭР;03.04.19; -; -; -;ок;офис АЭР;;
2284;АЭР;04.04.19;НМОУ;Комплектация;Сборка;неокончено;дома;;соединение панелей АС2
2285;АЭР;04.04.19;НМОУ;ПНР;Стенд;ок;офис АЭР;;
2286;АЭР;04.04.19;МРСК СК;МО;Документы;ок;офис АЭР;;
2287;АЭР;04.04.19;Стекольный завод;Комплектация; -;неокончено;офис АЭР;;
2288;АЭР;05.04.19;НМОУ;Комплектация;Сборка;ок;командировка;;
2289;АЭР;05.04.19; -;Ревизия дел; -;неокончено;офис АЭР;;
2290;АЭР;07.04.19;МРСК СК;Сдача работ;Документы;неокончено;офис АЭР;;
2291;АЭР;08.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2292;АЭР;08.04.19;Стекольный завод;Комплектация; -;неокончено;офис АЭР;;
2293;АЭР;08.04.19; -; -; -;ок;офис АЭР;;
2294;АЭР;08.04.19;Стекольный завод;СМР;подготовка;ок;командировка;;
2295;АЭР;08.04.19;Стекольный завод;СМР;подготовка;ок;офис АЭР;;
2296;АЭР;08.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2297;АЭР;09.04.19;Стекольный завод;СМР; -;ок;командировка;;
2298;АЭР;09.04.19; -; -; -;ок;офис АЭР;;
2299;ЭА;10.04.19; -; -;ПФР;ок;командировка;;
2300;АЭР;10.04.19;Стекольный завод;ПНР; -;неокончено;офис АЭР;;ПРТ3
2301;АЭР;10.04.19;НМОУ;ПИР;Документы;ок;офис АЭР;;заземление
2302;АЭР;10.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2303;ЛВЕ;10.04.19; -;Сметы; -;ок;офис АЭР;;
2304;АЭР;11.04.19;НМОУ;СМР;подготовка;ок;офис АЭР;;
2305;ЛВЕ;11.04.19;г-ца Даниловская;Сметы; -;ок;офис АЭР;;РУ НН
2306;АЭР;11.04.19;МРСК СК;МО;Документы;неокончено;офис АЭР;;
2307;АЭР;11.04.19;МРСК СК;Сдача работ;Документы;неокончено;офис АЭР;;
2308;АЭР;11.04.19; -; -;Логистика;ок;офис АЭР;;почта
2309;ЭА;12.04.19; -;реорганизация; -;неокончено;дома;;
2310;АЭР;12.04.19;МРСК СК;МО;Документы;неокончено;офис АЭР;;
2311;АЭР;12.04.19;РН Энерго;Сметы; -;ок;офис АЭР;;
2312;АЭР;12.04.19;НМОУ;ПНР; -;ок;офис АЭР;;
2313;АЭР;12.04.19;Стекольный завод;ПНР; -;ок;офис АЭР;;ICBcom
2314;АЭР;14.04.19;НМОУ;СМР;подготовка;ок;офис АЭР;;
2315;АЭР;15.04.19;НМОУ;СМР; -;ок;командировка;;
2316;АЭР;15.04.19;НМОУ;СМР; -;ок;командировка;;
2317;АЭР;16.04.19; -;Ревизия дел; -;ок;офис АЭР;;
2318;АЭР;17.04.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2319;АЭР;17.04.19;НМОУ;ПИР;изменения;неокончено;офис АЭР;;
2320;АЭР;17.04.19;НМОУ;ПНР;подготовка;неокончено;офис АЭР;;
2321;АЭР;17.04.19;МРСК СК;Сдача работ;Документы;неокончено;офис АЭР;;
2322;ЛВЕ;17.04.19;г-ца Даниловская;Сметы; -;ок;офис АЭР;;РУ НН
2323;АЭР;17.04.19; -;Оборудование; -;неокончено;офис АЭР;;
2324;АЭР;18.04.19;МРСК СК;МО;Документы;неокончено;офис АЭР;;
2325;АЭР;18.04.19;НМОУ;ПНР;Стенд;ок;офис АЭР;;
2326;ЛВЕ;18.04.19;г-ца Даниловская;Сметы; -;ок;офис АЭР;;номера
2327;ЭА;18.04.19;ЗГАЭС-2;ЭД;Документы;неокончено;офис АЭР;;
2328;АЭР;18.04.19;НМОУ;ПИР;Документы;неокончено;офис АЭР;;АВР
2329;АЭР;18.04.19;НМОУ;СМР;подготовка;неокончено;офис АЭР;;
2330;АЭР;19.04.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2331;АЭР;19.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2332;АЭР;19.04.19;МРСК СК;МО;Документы;ок;офис АЭР;;схемы
2333;АЭР;19.04.19;НМОУ;ПИР;Документы;неокончено;офис АЭР;;схемы
2334;АЭР;19.04.19;НМОУ;Комплектация; -;ок;командировка;;
2335;АЭР;20.04.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2336;АЭР;20.04.19;НМОУ;ПНР;подготовка;ок;офис АЭР;;
2337;АЭР;21.04.19;НМОУ;ПНР; -;неокончено;командировка;;
2338;АЭР;22.04.19;НМОУ;ПНР; -;неокончено;командировка;;
2339;АЭР;23.04.19;НМОУ;ПНР; -;неокончено;командировка;;
2340;АЭР;24.04.19;НМОУ;ПНР; -;неокончено;командировка;;
2341;АЭР;25.04.19;НМОУ;ПНР; -;ок;командировка;;
2342;АЭР;26.04.19; -; -; -;ок;офис АЭР;;
2343;АЭР;29.04.19;СК Энергосбыт;Техсопровождение; -;ок;офис АЭР;;
2344;АЭР;29.04.19;Глобус ТО;Техсопровождение; -;неокончено;офис АЭР;;
2345;АЭР;29.04.19;НМОУ;СМР;подготовка;ок;офис АЭР;;
2346;АЭР;29.04.19; -; -; -;ок;офис АЭР;;
2347;АЭР;29.04.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2348;АЭР;29.04.19; -;Оборудование;ремонт;неокончено;командировка;;
2349;АЭР;30.04.19; -; -; -;ок;офис АЭР;;
2350;АЭР;30.04.19;НМОУ;Комплектация; -;ок;офис АЭР;;
2351;АЭР;01.05.19; -;Техсопровождение; -;ок;офис АЭР;;
2352;АЭР;02.05.19;НМОУ;СМР;подготовка;ок;офис АЭР;;
2353;АЭР;02.05.19;НМОУ;Сдача работ;Документы;ок;офис АЭР;;
2354;АЭР;07.05.19;НМОУ;Сдача работ;Документы;неокончено;офис АЭР;;
2355;АЭР;07.05.19; -;Ревизия дел; -;неокончено;офис АЭР;;
2356;АЭР;07.05.19;СК Энергосбыт;Техсопровождение; -;ок;офис АЭР;;
2357;АЭР;07.05.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2358;АЭР;07.05.19; -; -; -;ок;офис АЭР;;
2359;АЭР;08.05.19;НМОУ; -; -;ок;командировка;;
2360;АЭР;08.05.19;МРСК Центра;ТКП;подготовка;неокончено;офис АЭР;;
2361;ЛВЕ;08.05.19;Раменское;Сдача работ;Документы;ок;офис АЭР;;
2362;АЭР;08.05.19; -; -; -;ок;офис АЭР;;
2363;АЭР;08.05.19;Глобус ТО;Техсопровождение; -;ок;офис АЭР;;Стечкин
2364;АЭР;13.05.19; -; -; -;ок;офис АЭР;;
2365;ЛВЕ;13.05.19;Раменское;Сметы; -;ок;офис АЭР;;
2366;АЭР;14.05.19;Саратовская ТЭЦ-5;МО;Документы;ок;командировка;;
2367;АЭР;14.05.19;НМОУ;Сдача работ;Документы;ок;офис АЭР;;
2368;ЛВЕ;14.05.19;Раменское;Сдача работ;Документы;ок;офис АЭР;;
2369;ЭС;14.05.19;а-п Домодедово;Сдача работ;Документы;неокончено;офис АЭР;;
2370;АЭР;14.05.19;СЭТЗ;ТКП; -;ок;офис АЭР;;
2371;АЭР;15.05.19;НМОУ;СМР; -;ок;командировка;;
2372;АЭР;16.05.19;РН Энерго;Испытания; -;ок;командировка;;ЮНГ
2373;АЭР;16.05.19;НМОУ;Комплектация; -;неокончено;офис АЭР;;
2374;АЭР;16.05.19; -; -; -;ок;офис АЭР;;
2375;АЭР;16.05.19;НМОУ;ПИР;Техническое решение;ок;офис АЭР;;
2376;ЛВЕ;17.05.19;Раменское;Сдача работ;Документы;ок;офис АЭР;;
2377;АЭР;17.05.19;МРСК СК;Сдача работ;Документы;ок;офис АЭР;;
2378;АЭР;17.05.19;НМОУ;Комплектация;Логистика;ок;командировка;;
2379;АЭР;17.05.19; -;Проверка;Документы;неокончено;офис АЭР;;
2380;АЭР;20.05.19; -;Проверка;Документы;неокончено;офис АЭР;;
2381;АЭР;21.05.19; -;Проверка;Документы;ок;офис АЭР;;
2382;АЭР;21.05.19; -;Общие;Документы;ок;командировка;;ИФНС 46
2383;ЛВЕ;22.05.19;Абельмановская 2А;Сметы; -;неокончено;офис АЭР;;
